model,C,C0,gamma,tau_f,tau_s,F_ref,lambda,T_eq,a_f,a_s,C_unc,C0_unc,gamma_unc,tau_f_unc,tau_s_unc,F_ref_unc,lambda_unc,T_eq_unc,a_f_unc,a_s_unc
CCSM3,7.581297023748046,142.95631796504676,0.6158014987935365,4.634798772705111,376.94564222238,5.3765046549236315,1.0073873986228494,5.33707753568646,0.6110806533382831,0.38891934666171696,3.3801646710121838,9.702553736153105,0.021441349383892885,2.080802091305182,22.80625089242208,0.07575816675670045,0.01604731034805038,0.11350523880995188,0.006026483163530393,0.006026483163530393
CESM1,4.863153641635263,94.33848612287515,0.6843011367774808,3.4736509341347555,276.50538538322627,4.6960920529692665,0.6980232093354668,6.727701873179901,0.49220438852848836,0.5077956114715116,0.9771531351568538,3.966355055948417,0.020512944478610903,0.7040828725565657,9.909273510791966,0.05780376233747995,0.009224735081381242,0.12150143839828878,0.006353770538649415,0.006353770538649415
CNRMCM6,5.421475993298137,118.93200759189061,0.510096236701809,5.204128565591805,467.08275693592634,5.736016294578844,0.5200227186684386,11.030318654666454,0.49353201450432194,0.5064679854956781,1.5327798140378903,4.873236784241248,0.014548934771781633,1.4832885045065864,14.754397786544358,0.09509339682379786,0.011378017508644011,0.30279535104322236,0.0033066922127196886,0.0033066922127196886
ECEARTH,7.436734952150682,58.04468290045188,0.5362770567838543,4.884473388332654,171.49756686594984,6.524087706023844,0.9609035956090136,6.789534075880864,0.6203107825703632,0.3796892174296368,1.7701005529587714,3.9954112442858394,0.03201343531663343,1.1641006815800434,7.577215521385359,0.18995664306108456,0.038132832898478734,0.33418032936019065,0.009387624791232473,0.009387624791232473
ECHAM5,7.304876825752521,137.6502054998149,0.5158560717559882,7.052271051906682,546.2816417908145,5.958037988157452,0.5059593346963128,11.775725003143956,0.4817729460107013,0.5182270539892987,2.005692604019723,9.236715688925653,0.019648712774082512,1.9511570582702829,30.960912753766856,0.12655879293989925,0.014428697570602651,0.41873548092014634,0.0051904926614589455,0.0051904926614589455
GISSE2R,4.475489711123259,134.41724878127602,0.9227215986055187,2.1900841233939974,268.9842842554618,5.300664832487456,1.1067185142237899,4.789532988164692,0.5378103319970189,0.4621896680029811,1.382269433414305,4.915361242957154,0.023651906067840872,0.6803001547087569,8.374689185265892,0.061576277790847685,0.013449460536364526,0.08052009413841402,0.005164675904430909,0.005164675904430909
IPSLCM5A,6.806412577025291,103.79089000960549,0.5572752361505585,5.56326549547144,351.08975935924286,5.619617136385184,0.6490225909980589,8.658584792469867,0.5229232079873849,0.47707679201261516,1.8907987095640602,5.12693573392529,0.02126227770513941,1.5584727987600215,12.28399643959335,0.1244034626545781,0.018839278358349355,0.31608438034434433,0.004589861747114029,0.004589861747114029
MIROC3,8.620907131806302,128.25677399070148,0.5087948856627166,6.083562308423581,398.81162736198684,7.392906657426392,0.8957045273156191,8.253733716834677,0.6263773494468032,0.3736226505531967,1.819169442507242,6.272935767675746,0.010955852341843632,1.29385662876176,17.738551737715976,0.040501300884898166,0.007423887142761085,0.08200288705656467,0.003998982258051142,0.003998982258051142
HadGEM2,6.167392213451756,84.34284437872716,0.5324531316910359,5.405411760573837,306.4836434581461,5.553214974013303,0.5897016478999975,9.41699076777046,0.5081697454693754,0.4918302545306246,1.235024108163549,2.4770433841474113,0.012575897443077943,1.0977502486013728,6.608281389640346,0.06113164409987721,0.008122157746721169,0.16604057297101057,0.0033403895815729947,0.0033403895815729947
MPIESM11,6.266476558749748,127.24159679750257,0.6307955530080152,4.099360058013616,348.5130568729401,6.089069416391691,0.8847667401046635,6.882118348697629,0.5737771372320579,0.42622286276794213,1.1594010860502393,7.361981562927094,0.017683672949581147,0.7628241210377903,18.533268106575417,0.053360365483899774,0.00820846232655574,0.08782950603036027,0.006278539047492916,0.006278539047492916
