model,C,C0,gamma,tau_f,tau_s,F_ref,lambda,T_eq,a_f,a_s,C_unc,C0_unc,gamma_unc,tau_f_unc,tau_s_unc,F_ref_unc,lambda_unc,T_eq_unc,a_f_unc,a_s_unc
CCSM3,8.657477096195763,273.34328710586294,0.33163346762550755,6.452917228874111,1097.7129900284988,5.3765046549236315,1.0073873986228494,5.33707753568646,0.7493907468172322,0.25060925318276783,3.943135767913992,6.759456366225296,0.008238640765346637,2.942884766777785,12.93337251739833,0.07575816675670045,0.01604731034805038,0.11350523880995188,0.003329126745453786,0.003329126745453786
CESM1,6.9954537846599845,278.73972853242356,0.16318385646847783,8.115506773466253,2109.366596422796,4.6960920529692665,0.6980232093354668,6.727701873179901,0.8090501372074835,0.1909498627925165,2.160269235041228,6.460712703339456,0.0038790063482198665,2.505948830706013,21.45781959536663,0.05780376233747995,0.009224735081381242,0.12150143839828878,0.003023798904962001,0.003023798904962001
CNRMCM6,6.223606355636788,390.2800418567966,0.2918398292478012,7.650016032420764,2092.1327273803986,5.736016294578844,0.5200227186684386,11.030318654666454,0.6378844097059466,0.3621155902940533,1.9717165747343726,9.648068452643843,0.006873290818963906,2.422753710770434,20.51245228032348,0.09509339682379786,0.011378017508644011,0.30279535104322236,0.0018368207862622154,0.0018368207862622154
ECEARTH,7.550419490304062,56.56697622956571,0.5087064765694735,5.054390104318593,172.8694306857999,6.524087706023844,0.9609035956090136,6.789534075880864,0.6325016048915089,0.36749839510849114,1.8328635117290328,5.031165030523429,0.037636169642466036,1.2262565451671725,10.920733872718033,0.18995664306108456,0.038132832898478734,0.33418032936019065,0.013913665159656884,0.013913665159656884
ECHAM5,7.622292713343551,169.61639854578678,0.42431759976156336,8.116840252307734,741.9246543263156,5.958037988157452,0.5059593346963128,11.775725003143956,0.5336852523956435,0.4663147476043565,2.165146984544746,5.369090002003574,0.013998310911282742,2.315472031522196,5.938912424308406,0.12655879293989925,0.014428697570602651,0.41873548092014634,0.0029777744784093693,0.0029777744784093693
GISSE2R,7.933530031262857,224.50169421549342,0.22777546711715851,5.93882776347498,1189.7103544799884,5.300664832487456,1.1067185142237899,4.789532988164692,0.8275991969763337,0.17240080302366637,3.2429186107450607,7.639479754127744,0.008362114680589321,2.428759832987558,15.93008869523232,0.061576277790847685,0.013449460536364526,0.08052009413841402,0.004902077377597087,0.004902077377597087
IPSLCM5A,7.543942675953402,246.20182888590003,0.3520364064488693,7.507315014465173,1082.823373475936,5.619617136385184,0.6490225909980589,8.658584792469867,0.6433990824773789,0.35660091752262113,2.2808135618935745,7.913577188578392,0.010973218893355386,2.2677993239716447,11.93415563956599,0.1244034626545781,0.018839278358349355,0.31608438034434433,0.002148247167532939,0.002148247167532939
MIROC3,8.688933025252524,142.1791471750032,0.4901011648413899,6.2217256492216855,452.31500355080226,7.392906657426392,0.8957045273156191,8.253733716834677,0.6363689371898194,0.3636310628101807,1.856606023751079,9.59062123605003,0.012568313430754234,1.3379151518328944,28.374065180923992,0.040501300884898166,0.007423887142761085,0.08200288705656467,0.005224818759847198,0.005224818759847198
HadGEM2,7.014675261126969,211.8953338880907,0.30037790642174667,7.851132910266311,1068.7996597534654,5.553214974013303,0.5897016478999975,9.41699076777046,0.6575041185973678,0.3424958814026322,1.7002783774302763,3.619521009383146,0.005035625966703725,1.9071045759212735,7.773944986347864,0.06113164409987721,0.008122157746721169,0.16604057297101057,0.0017816123980720943,0.0017816123980720943
MPIESM11,7.949499091111576,214.07058619768458,0.21646466166207973,7.208332659259796,1232.6680690713326,6.089069416391691,0.8847667401046635,6.882118348697629,0.8011130416019581,0.1988869583980419,2.119056542241788,6.101660659862671,0.006731509271224053,1.922651521909261,15.2512921055276,0.053360365483899774,0.00820846232655574,0.08782950603036027,0.004701458432158158,0.004701458432158158
