model,C,C0,gamma,tau_f,tau_s,F_ref,lambda,T_eq,a_f,a_s,C_unc,C0_unc,gamma_unc,tau_f_unc,tau_s_unc,F_ref_unc,lambda_unc,T_eq_unc,a_f_unc,a_s_unc
CCSM3,8.948487758827097,122.23090696492338,0.6411043008540218,4.609849761104653,288.1974948195149,6.358819569168546,1.2841773903057112,4.9516675945016955,0.6560475146751978,0.34395248532480216,4.007509475898582,10.002210744957308,0.03739389837856677,2.0709323512854145,17.4643355338639,0.20281962292675038,0.05714219116769749,0.27109352676168036,0.006981971505423006,0.006981971505423006
CESM1,6.571618209061406,79.71505554070494,0.8522703349535646,3.236647264616632,165.48747952422343,6.60790920952297,1.147558388353789,5.758233547490544,0.5565207022802009,0.4434792977197991,1.2557283108754673,4.368817867196978,0.042818701075903014,0.6178076945838602,6.151300294275183,0.1412664654258647,0.03460361763066749,0.21284496725122232,0.009616520314194061,0.009616520314194061
CNRMCM6,6.698491585324209,111.79253070589102,0.5649888131308396,5.178101954355529,358.77105296148807,7.099313218852752,0.7134474047493296,9.950716999730489,0.5449449753419187,0.45505502465808134,1.8918249733273604,4.66243125954714,0.01734971537313695,1.4750981861701276,11.15436399145873,0.09575760619687791,0.015741193544032136,0.2573246431736894,0.0038069913694054056,0.0038069913694054056
ECEARTH,7.787364100312587,54.52919536502532,0.5491962440882509,4.839308854574324,154.84258896363977,6.856096003495889,1.0318539876809028,6.644443967217688,0.6296514395052972,0.3703485604947027,1.8324765287555607,3.4991847414488877,0.03038892598928823,1.150047560450487,6.91024238498291,0.13345801580618175,0.026846055727465845,0.21589939479178974,0.01024369970010958,0.01024369970010958
ECHAM5,8.413039620296216,120.11919832431781,0.5273088373144621,7.037075200980709,418.0725577142489,6.864658536053545,0.6514130517949482,10.53810407565245,0.537081605651037,0.462918394348963,2.33035118143148,9.302015334185269,0.028990138847059477,1.9480169810383945,23.60183645778563,0.18721651825533261,0.030214616022348276,0.5670235072630155,0.006034688648677325,0.006034688648677325
GISSE2R,5.562544423157163,122.36712370950538,1.102143369594093,2.0271985091436364,187.90417990555378,7.000891910489648,1.6213151195126076,4.318032827939225,0.5864056070303192,0.41359439296968087,1.6980281310624596,6.15558373096317,0.049246757091529016,0.6193733704776871,5.993188493509118,0.1664165349687091,0.05402812697867573,0.17675024068937256,0.00677747077597593,0.00677747077597593
IPSLCM5A,7.6529688820534645,95.4916152043345,0.5816727534059736,5.533775358840814,290.70209652811263,6.329259120655422,0.7809923440245042,8.10412441182245,0.556280136802584,0.4437198631974159,2.1238092543271456,4.828252222809771,0.023561034479781796,1.5494966124123901,10.116940474851962,0.11795030105721135,0.022882759677732636,0.2814076365211612,0.005128255961474812,0.005128255961474812
MIROC3,8.6400531438377,127.98952750264904,0.5090039464116347,6.083323106225659,397.4043751966889,7.409409209466481,0.8986615738515383,8.244938278278424,0.6270238433964865,0.37297615660351346,1.8327543337589582,6.847812341193306,0.015558768462812358,1.2937952918950677,17.676207722201077,0.11451919674433994,0.020832524950869222,0.22971848798132308,0.004006255307913387,0.004006255307913387
HadGEM2,6.606467232001047,80.79081456758232,0.5494008530004533,5.379264672129806,274.52128947949006,5.958599149250711,0.6578744190041925,9.05735042604345,0.5263886919426286,0.4736113080573714,1.338123420630224,3.639669637461034,0.022959374840892263,1.0901608463407046,5.915259803564476,0.1352297487742798,0.02391968913623265,0.38820426791471585,0.003588820879563055,0.003588820879563055
MPIESM11,8.328796507687489,98.21174774052146,0.7041027927736171,3.997690771636987,213.91102478567174,8.19144373941066,1.3585238216619697,6.029665147416804,0.645443829558314,0.35455617044168597,1.5176279140450135,6.592505392931654,0.03225388269031976,0.7274956422501865,11.651769705156273,0.14496305653549071,0.03280366843058726,0.18051128459040464,0.008716026857259487,0.008716026857259487
