model,C,C0,gamma,C0_prime,gamma_prime,tau_f,tau_s,F_ref,lambda,T_eq,a_f,a_s,epsilon,C_unc,C0_unc,gamma_unc,C0_prime_unc,gamma_prime_unc,tau_f_unc,tau_s_unc,F_ref_unc,lambda_unc,T_eq_unc,a_f_unc,a_s_unc,epsilon_unc
CCSM3,5.814275377921557,282.8203209581215,0.3275323683682142,281.7043252736104,0.32623994104758064,4.450589596227033,1152.8810041386425,5.239905817653639,0.9784754880437071,5.355173309583797,0.7480101153986459,0.2519898846013541,0.9960540470333588,2.7948300568690296,14.211918681596744,0.016427748196416795,9.196936510691085,0.010603351495703142,2.138494390689857,13.21015233587578,0.14800296384634462,0.027016208834854793,0.2115218918404644,0.0031011553321175713,0.0031011553321175713,0.038049717089880176
CESM1,8.614376895911867,271.6146126934967,0.14504703650203105,390.135097937815,0.2083390846690797,8.080691040854486,2329.90856644732,5.813668693627376,0.8568025684655037,6.785307266339554,0.8030380301369099,0.19696196986309014,1.4363553347479967,2.809968718131526,7.48937933148345,0.004035676484400351,8.235311354097556,0.004465536392782921,2.6362633022025066,22.967507122171575,0.06914262926965693,0.010066705949498262,0.11343621750597833,0.0028047545918494093,0.0028047545918494093,0.025481295107501356
CNRMCM6,8.041262207209876,404.1190963822002,0.27651585398190587,539.6384201157557,0.3692440667011428,8.213138371019609,2354.426075141524,6.916643791178994,0.6077421554391493,11.380885346321065,0.6194045419809128,0.38059545801908723,1.335345013256653,2.6118377186601855,9.147281710478516,0.005851022806860394,8.55070881951467,0.005042058466015929,2.6717915825424554,23.72866337645662,0.07920123676003658,0.006586425894883791,0.17943343188639116,0.001764325606613393,0.001764325606613393,0.021584572384195675
ECEARTH,8.186265439992916,60.0945277121352,0.470525280392337,79.28611791094394,0.6207906823058927,4.770455528677227,204.60912968738242,7.527731484627172,1.0711564988321205,7.0276672856250615,0.6152337748389404,0.3847662251610596,1.3193567023396922,2.1000337377339138,5.659680563378152,0.03722171596351842,6.188282733344648,0.03662073790303897,1.2323924832950688,12.602480703500495,0.18999244584475483,0.02660465756128552,0.2488528473690224,0.012064736375455286,0.012064736375455286,0.06953896442305213
ECHAM5,8.999566769465899,170.75532710116386,0.4053862268181947,211.04709832851674,0.5010419781611767,8.211194822621323,789.1479754347156,6.987156002935674,0.5850083599705832,11.943685733460319,0.5288586931847177,0.47114130681528227,1.235962016010675,2.6887180749823267,7.927958618870175,0.01916361549077072,6.3745795010971245,0.015775838124099,2.465423039145085,6.284390310882744,0.19357940610375646,0.015786548993438017,0.4619240033390367,0.0028167340383766382,0.0028167340383766382,0.04358087058262752
GISSE2R,8.736946500172973,206.05355861789408,0.18235660328324416,283.2328326754101,0.25065996263989737,5.783726723530164,1356.1336609105929,6.0665264047188305,1.2586588710701312,4.819833669118763,0.8324988067960416,0.1675011932039584,1.3745592872804364,3.7847604689308256,7.762606223273735,0.007138726596729974,8.597741616320912,0.008063022414037132,2.5065563807888913,16.99485151087118,0.07149215234518878,0.014472030830862372,0.07935654805674784,0.004149944416480811,0.004149944416480811,0.030667339165003166
IPSLCM5A,8.639422725931624,255.86832137686028,0.3330173649342738,325.53005506263855,0.4236834030899804,7.49424804204768,1221.7939292129324,6.463133426673303,0.7249504743780335,8.915275808624452,0.6265661063633501,0.3734338936366499,1.2722561875222362,2.7514398372136095,8.572575336115483,0.010799572212872359,6.9736797350148425,0.008346524461437133,2.3920830883867406,13.644060024144851,0.11216735821836223,0.012025914598377619,0.21403644370304115,0.0020221335329232205,0.0020221335329232205,0.03277345888408339
MIROC3,8.646976250875756,150.42476592818042,0.4847970678775834,164.6757649020843,0.5307259578063445,6.07110195046033,500.50872516967905,7.52676634157975,0.8829669487643941,8.524403265731014,0.6152704978988974,0.38472950210110257,1.0947383822468963,1.980195526226967,14.320605275292749,0.035573525384258155,11.538489009472464,0.018617960924496586,1.3902661322279128,30.552429375645893,0.14388148471649934,0.02383842933585212,0.28199131895576784,0.004887567889391757,0.004887567889391757,0.07055534170313592
HadGEM2,7.949771048995835,213.42225174606196,0.29257621984485543,242.8249038622708,0.3328837170209668,8.128971992623523,1112.3585098410297,6.08661253175518,0.6413201503000409,9.490755169485265,0.6532425047353891,0.34675749526461086,1.1377675095996702,1.985911061745876,7.358850645462941,0.010034744966908845,5.168987965485106,0.006987304731599426,2.032717760427445,8.201010403888336,0.11756915368840092,0.011993382555691537,0.2551653303466662,0.0017580872154775275,0.0017580872154775275,0.030861724173075627
MPIESM11,11.226128898709458,195.05151018576984,0.1755825355377896,309.8194150400512,0.27889493600822013,7.851017698415386,1382.4405909843895,7.972187858349267,1.149014718872033,6.93828175340993,0.8024440063135689,0.19755599368643112,1.5883979300902349,3.030795133468528,6.574359105058078,0.00620383230817218,8.737417438006444,0.00840240290421649,2.120330562434763,17.455586852357158,0.09015823750812352,0.012744129297794626,0.10990417683568027,0.004410924837380139,0.004410924837380139,0.029320695426439086
