model,C,C0,gamma,C0_prime,gamma_prime,tau_f,tau_s,F_ref,lambda,T_eq,a_f,a_s,epsilon,C_unc,C0_unc,gamma_unc,C0_prime_unc,gamma_prime_unc,tau_f_unc,tau_s_unc,F_ref_unc,lambda_unc,T_eq_unc,a_f_unc,a_s_unc,epsilon_unc
CCSM3,5.948307364944553,125.50762811947166,0.6704440751230161,125.50762811947166,0.6704440751230161,3.026146761306472,286.54046468062677,6.358819569168546,1.2841773903057112,4.9516675945016955,0.649613029326137,0.35038697067386304,1.0,2.720938427807523,9.97484902579642,0.03763256262108101,9.97484902579642,0.03763256262108101,1.3851516381435467,17.161528354935037,0.20281962292675038,0.05714219116769749,0.27109352676168036,0.007070334241444636,0.007070334241444636,0.0
CESM1,6.798825366205308,78.86536439844252,0.8436733321686706,78.86536439844252,0.8436733321686706,3.361262877184474,164.7663829219313,6.60790920952297,1.147558388353789,5.758233547490544,0.5583298261545897,0.44167017384541035,1.0,1.3966702466782812,4.378017745132615,0.043016230975906504,4.378017745132615,0.043016230975906504,0.6916699631883555,6.184539955835574,0.1412664654258647,0.03460361763066749,0.21284496725122232,0.009713510463516114,0.009713510463516114,0.0
CNRMCM6,6.495300511400822,112.21702509748,0.5735382229812491,112.21702509748,0.5735382229812491,4.988740963576602,357.0612468248025,7.099313218852752,0.7134474047493296,9.950716999730489,0.5415609113584139,0.45843908864158606,1.0,1.9308488724047324,4.703602630378157,0.017792368083088827,4.703602630378157,0.017792368083088827,1.4959816996285566,11.164897929520922,0.09575760619687791,0.015741193544032136,0.2573246431736894,0.003875778233762023,0.003875778233762023,0.0
ECEARTH,7.405916296901389,55.5258391402422,0.563101532136288,55.5258391402422,0.563101532136288,4.565099421597712,155.03106613888974,6.856096003495889,1.0318539876809028,6.644443967217688,0.6250054812829515,0.37499451871704853,1.0,1.8313844236925145,3.5034597646311707,0.031003288448333638,3.5034597646311707,0.031003288448333638,1.1401546886605156,6.780619565278388,0.13345801580618175,0.026846055727465845,0.21589939479178974,0.010213269385334348,0.010213269385334348,0.0
ECHAM5,8.423060325790994,118.85077378163183,0.536981520602707,118.85077378163183,0.536981520602707,6.984913929253622,409.72745815363396,6.864658536053545,0.6514130517949482,10.53810407565245,0.5322166896464811,0.46778331035351894,1.0,2.441717665947674,9.209984449730168,0.02987504145120975,9.209984449730168,0.02987504145120975,2.027097440774762,23.03736925959499,0.18721651825533261,0.030214616022348276,0.5670235072630155,0.006197198737575908,0.006197198737575908,0.0
GISSE2R,4.413931173467366,125.1758687817897,1.1215700098421337,125.1758687817897,1.1215700098421337,1.5997171226437403,189.9368176367071,7.000891910489648,1.6213151195126076,4.318032827939225,0.5841015925568577,0.4158984074431423,1.0,1.3756401587295766,6.261135521937762,0.0495894056206858,6.261135521937762,0.0495894056206858,0.498339382897541,6.099833425308313,0.1664165349687091,0.05402812697867573,0.17675024068937256,0.006788829077898652,0.006788829077898652,0.0
IPSLCM5A,7.477317849884659,94.98989577648199,0.5902790155506146,94.98989577648199,0.5902790155506146,5.372947030007922,286.7520778365504,6.329259120655422,0.7809923440245042,8.10412441182245,0.5528156043595306,0.4471843956404694,1.0,2.1856230968119847,4.841072544652452,0.024308471525691627,4.841072544652452,0.024308471525691627,1.5854886113074693,10.04677670362825,0.11795030105721135,0.022882759677732636,0.2814076365211612,0.005274826745507587,0.005274826745507587,0.0
MIROC3,8.384411356298147,127.95167140722386,0.5162452481791068,127.95167140722386,0.5162452481791068,5.873747504475296,393.68695840958225,7.409409209466481,0.8986615738515383,8.244938278278424,0.6239519463053975,0.3760480536946024,1.0,1.8917186377171835,6.768193549550358,0.01587853065252606,6.768193549550358,0.01587853065252606,1.3295653414212354,17.235592540223728,0.11451919674433994,0.020832524950869222,0.22971848798132308,0.004037155369410879,0.004037155369410879,0.0
HadGEM2,6.8421567207169645,80.49168630446468,0.5514159430583883,80.49168630446468,0.5514159430583883,5.557688061506996,273.16657537528135,5.958599149250711,0.6578744190041925,9.05735042604345,0.5247024327388525,0.4752975672611475,1.0,1.427378354173445,3.6382331443780793,0.023272326903064734,3.6382331443780793,0.023272326903064734,1.1621157044599546,5.835777010706287,0.1352297487742798,0.02391968913623265,0.38820426791471585,0.003588534454284334,0.003588534454284334,0.0
MPIESM11,9.156771590028102,97.63929937087893,0.6966962663950349,97.63929937087893,0.6966962663950349,4.4068728773670145,214.3511270546639,8.19144373941066,1.3585238216619697,6.029665147416804,0.6465491400768599,0.35345085992314007,1.0,1.7647543728256798,6.632935799850547,0.032266342605714954,6.632935799850547,0.032266342605714954,0.8500991288059212,11.758646927181044,0.14496305653549071,0.03280366843058726,0.18051128459040464,0.00873258469039969,0.00873258469039969,0.0
